context_3,context_2,context_1,response
"Чот так не оч пойму, завтра созвонимся
Во скок кста сможете?","Можно в 2 примерно
Или вечером","У меня работа блин
Могу утром
Сможешь?",Во сколько?
"Можно в 2 примерно
Или вечером","У меня работа блин
Могу утром
Сможешь?",Во сколько?,В 10
"У меня работа блин
Могу утром
Сможешь?",Во сколько?,В 10,"Хорошо
Как вообще идея тебе
Что писал
Что дкмаешь"
Во сколько?,В 10,"Хорошо
Как вообще идея тебе
Что писал
Что дкмаешь","Я пока не до конца понял
Завтра расскажешь, скажу чонить"
В 10,"Хорошо
Как вообще идея тебе
Что писал
Что дкмаешь","Я пока не до конца понял
Завтра расскажешь, скажу чонить",Оки
"Хорошо
Как вообще идея тебе
Что писал
Что дкмаешь","Я пока не до конца понял
Завтра расскажешь, скажу чонить",Оки,"Макс привет
заходи на серв
Бодя
нужны твои пиздливые способности
нужно крч узнать цены у конкурентов
maller и nordclan
чисто сайт maller"
"Я пока не до конца понял
Завтра расскажешь, скажу чонить",Оки,"Макс привет
заходи на серв
Бодя
нужны твои пиздливые способности
нужно крч узнать цены у конкурентов
maller и nordclan
чисто сайт maller",Хааазха
Оки,"Макс привет
заходи на серв
Бодя
нужны твои пиздливые способности
нужно крч узнать цены у конкурентов
maller и nordclan
чисто сайт maller",Хааазха,Сегодня бы вечером сесть
,,,ты сможешь богдан?
,,ты сможешь богдан?,"там просто вопросы появились ты возможно на них ответ знаешь
и еще по стилю презу надо сделать, если у тебя время будет свободное"
,,,"А завтра кто-то сможет на созвон?
Хочу понять что происходит
Завтра в городе буду"
,,"А завтра кто-то сможет на созвон?
Хочу понять что происходит
Завтра в городе буду","да, завтра уже надо доделать презентацию
как раз введем тебя в курс дела"
,"А завтра кто-то сможет на созвон?
Хочу понять что происходит
Завтра в городе буду","да, завтра уже надо доделать презентацию
как раз введем тебя в курс дела",Окей
"А завтра кто-то сможет на созвон?
Хочу понять что происходит
Завтра в городе буду","да, завтра уже надо доделать презентацию
как раз введем тебя в курс дела",Окей,ориентировочно в 19.00-20.00
"да, завтра уже надо доделать презентацию
как раз введем тебя в курс дела",Окей,ориентировочно в 19.00-20.00,"Да, конечно
Так
Напишите как вы соберетесь"
Окей,ориентировочно в 19.00-20.00,"Да, конечно
Так
Напишите как вы соберетесь","Я устал, мы с катайки щас по белой плыли 10 км, хочется отдохнуть
Я думал сил больше будет
Погнали завтра с утра ебашитб"
ориентировочно в 19.00-20.00,"Да, конечно
Так
Напишите как вы соберетесь","Я устал, мы с катайки щас по белой плыли 10 км, хочется отдохнуть
Я думал сил больше будет
Погнали завтра с утра ебашитб",Вы на сапах ?
"Да, конечно
Так
Напишите как вы соберетесь","Я устал, мы с катайки щас по белой плыли 10 км, хочется отдохнуть
Я думал сил больше будет
Погнали завтра с утра ебашитб",Вы на сапах ?,"Я с 10.30 свободен
Даааа
Это ахуенно
Расскажу в дисе"
"Я устал, мы с катайки щас по белой плыли 10 км, хочется отдохнуть
Я думал сил больше будет
Погнали завтра с утра ебашитб",Вы на сапах ?,"Я с 10.30 свободен
Даааа
Это ахуенно
Расскажу в дисе","Сук
Тоже хочу"
Вы на сапах ?,"Я с 10.30 свободен
Даааа
Это ахуенно
Расскажу в дисе","Сук
Тоже хочу","Бери сап на следующий год
И погнали хааххаах"
,,,Мы ещё один возьмём тоже
,,Мы ещё один возьмём тоже,Зачем
,,,"Ладно, хватит флудить"
,,,А то у влада всех детей разбудим
,,А то у влада всех детей разбудим,Уроды маолелтние блять
,,,Хочца
,,Хочца,Пхаххаха
,Хочца,Пхаххаха,Аахахахаха
Хочца,Пхаххаха,Аахахахаха,"Только срать и ссать могут в штаны
А ну и драться с матами"
Пхаххаха,Аахахахаха,"Только срать и ссать могут в штаны
А ну и драться с матами",Ахахаха
Аахахахаха,"Только срать и ссать могут в штаны
А ну и драться с матами",Ахахаха,"А как на сцене песни петь танцевать и декорации носить
Так они блять не хотят и не могут
Дебилы сука
Ну ладно, всё с ними не так плохо
Да и матери за бешенных детей, если их терпеть, то дарят шоколадки, конфеты, фрукты и тд
Жаль только деньгами не дают"
"Только срать и ссать могут в штаны
А ну и драться с матами",Ахахаха,"А как на сцене песни петь танцевать и декорации носить
Так они блять не хотят и не могут
Дебилы сука
Ну ладно, всё с ними не так плохо
Да и матери за бешенных детей, если их терпеть, то дарят шоколадки, конфеты, фрукты и тд
Жаль только деньгами не дают","Бедный влад
Боже
Я так тебе сочувствую"
Ахахаха,"А как на сцене песни петь танцевать и декорации носить
Так они блять не хотят и не могут
Дебилы сука
Ну ладно, всё с ними не так плохо
Да и матери за бешенных детей, если их терпеть, то дарят шоколадки, конфеты, фрукты и тд
Жаль только деньгами не дают","Бедный влад
Боже
Я так тебе сочувствую","Ахахахаха
40 детей нахуй
Прошло 4 дня, а я запомнил только 5 детей
Их слишком дохуя
Нихуя я завтра не приезжаю 
Только мб поздно ночью"
"А как на сцене песни петь танцевать и декорации носить
Так они блять не хотят и не могут
Дебилы сука
Ну ладно, всё с ними не так плохо
Да и матери за бешенных детей, если их терпеть, то дарят шоколадки, конфеты, фрукты и тд
Жаль только деньгами не дают","Бедный влад
Боже
Я так тебе сочувствую","Ахахахаха
40 детей нахуй
Прошло 4 дня, а я запомнил только 5 детей
Их слишком дохуя
Нихуя я завтра не приезжаю 
Только мб поздно ночью",в 10.30 сегодня собираемся?
"Бедный влад
Боже
Я так тебе сочувствую","Ахахахаха
40 детей нахуй
Прошло 4 дня, а я запомнил только 5 детей
Их слишком дохуя
Нихуя я завтра не приезжаю 
Только мб поздно ночью",в 10.30 сегодня собираемся?,"да
ну, я готов
богдана нада"
"Ахахахаха
40 детей нахуй
Прошло 4 дня, а я запомнил только 5 детей
Их слишком дохуя
Нихуя я завтра не приезжаю 
Только мб поздно ночью",в 10.30 сегодня собираемся?,"да
ну, я готов
богдана нада","кк, ща буду"
в 10.30 сегодня собираемся?,"да
ну, я готов
богдана нада","кк, ща буду","влад смотри, нужно твое мнение"
"да
ну, я готов
богдана нада","кк, ща буду","влад смотри, нужно твое мнение","Аххахахахахаха
Я ВОЖАТЫЙ"
"кк, ща буду","влад смотри, нужно твое мнение","Аххахахахахаха
Я ВОЖАТЫЙ","зацени презу
Ок, займёмся"
"влад смотри, нужно твое мнение","Аххахахахахаха
Я ВОЖАТЫЙ","зацени презу
Ок, займёмся",Нет
"Аххахахахахаха
Я ВОЖАТЫЙ","зацени презу
Ок, займёмся",Нет,"Надо по практике сделать чонить
Макс, ты делал?"
"зацени презу
Ок, займёмся",Нет,"Надо по практике сделать чонить
Макс, ты делал?","Мб посидим сегодня
Поделаем ченить"
Нет,"Надо по практике сделать чонить
Макс, ты делал?","Мб посидим сегодня
Поделаем ченить","Я в 21.30 освобожусь, но не факт что у меня будут силы
Понял
Ты Бодя презу не делал?"
"Надо по практике сделать чонить
Макс, ты делал?","Мб посидим сегодня
Поделаем ченить","Я в 21.30 освобожусь, но не факт что у меня будут силы
Понял
Ты Бодя презу не делал?","Еще нет
Я виталину пол 6 провожу
И сяду"
"Мб посидим сегодня
Поделаем ченить","Я в 21.30 освобожусь, но не факт что у меня будут силы
Понял
Ты Бодя презу не делал?","Еще нет
Я виталину пол 6 провожу
И сяду",Окей
"Я в 21.30 освобожусь, но не факт что у меня будут силы
Понял
Ты Бодя презу не делал?","Еще нет
Я виталину пол 6 провожу
И сяду",Окей,"Я ПРИЕДУ
Но к часам 8
Даже к 7"
"Еще нет
Я виталину пол 6 провожу
И сяду",Окей,"Я ПРИЕДУ
Но к часам 8
Даже к 7","Ну
Получается в 21.30 в дискорде"
Окей,"Я ПРИЕДУ
Но к часам 8
Даже к 7","Ну
Получается в 21.30 в дискорде",Ура товарищи
"Я ПРИЕДУ
Но к часам 8
Даже к 7","Ну
Получается в 21.30 в дискорде",Ура товарищи,"Женщина грант
Папх"
"Ну
Получается в 21.30 в дискорде",Ура товарищи,"Женщина грант
Папх",На покупают свои саоми редми ноут 7
Ура товарищи,"Женщина грант
Папх",На покупают свои саоми редми ноут 7,"Аххахахаа
Блять
Его срочно надо менять
Прям срочно
Экрану пизда
Точнее датчика который отвечает за нажатие на экран
Ему пиздец"
"Женщина грант
Папх",На покупают свои саоми редми ноут 7,"Аххахахаа
Блять
Его срочно надо менять
Прям срочно
Экрану пизда
Точнее датчика который отвечает за нажатие на экран
Ему пиздец",Купи айфон
На покупают свои саоми редми ноут 7,"Аххахахаа
Блять
Его срочно надо менять
Прям срочно
Экрану пизда
Точнее датчика который отвечает за нажатие на экран
Ему пиздец",Купи айфон,"Он может резко перестать реагировать тупо на нажатия 
Может вообще рандомные кнопки нажимать"
"Аххахахаа
Блять
Его срочно надо менять
Прям срочно
Экрану пизда
Точнее датчика который отвечает за нажатие на экран
Ему пиздец",Купи айфон,"Он может резко перестать реагировать тупо на нажатия 
Может вообще рандомные кнопки нажимать",Не пожалеешь
Купи айфон,"Он может резко перестать реагировать тупо на нажатия 
Может вообще рандомные кнопки нажимать",Не пожалеешь,"Да я скорее всего самсунг буду брать если буду
Нахуй радо
Сидишь без Сбера
Без тик тока
Без нихуя почти"
"Он может резко перестать реагировать тупо на нажатия 
Может вообще рандомные кнопки нажимать",Не пожалеешь,"Да я скорее всего самсунг буду брать если буду
Нахуй радо
Сидишь без Сбера
Без тик тока
Без нихуя почти","У меня все
Есть
И Сбербанк
И тик ток"
,,,Как поставил?
,,Как поставил?,Сбер ставишь
,,,Ты тик ток каждую неделю новый ставишь?
,,Ты тик ток каждую неделю новый ставишь?,Да у меня не тт мод
,,,Ну типо с ноутом ебешься
,,Ну типо с ноутом ебешься,А вот надо знать
,Ну типо с ноутом ебешься,А вот надо знать,"А вот я не хочу знать
Поэтому хочу самсунг"
Ну типо с ноутом ебешься,А вот надо знать,"А вот я не хочу знать
Поэтому хочу самсунг","Через отделение
Сбера
Идешь
За 15 секунд ставят"
А вот надо знать,"А вот я не хочу знать
Поэтому хочу самсунг","Через отделение
Сбера
Идешь
За 15 секунд ставят","Ахпх
А в андроеде он ставится за 15 секунд и без ходьбы"
"А вот я не хочу знать
Поэтому хочу самсунг","Через отделение
Сбера
Идешь
За 15 секунд ставят","Ахпх
А в андроеде он ставится за 15 секунд и без ходьбы","А на твоем андроиде
Есть аир дроп ?
Ахахаха"
"Через отделение
Сбера
Идешь
За 15 секунд ставят","Ахпх
А в андроеде он ставится за 15 секунд и без ходьбы","А на твоем андроиде
Есть аир дроп ?
Ахахаха","парочку
организуешь?"
"Ахпх
А в андроеде он ставится за 15 секунд и без ходьбы","А на твоем андроиде
Есть аир дроп ?
Ахахаха","парочку
организуешь?","Да, сек
6d9eeb
0145ac"
"А на твоем андроиде
Есть аир дроп ?
Ахахаха","парочку
организуешь?","Да, сек
6d9eeb
0145ac",я за этот
"парочку
организуешь?","Да, сек
6d9eeb
0145ac",я за этот,"Кста, если у нас спросят ""Куда вы потратите грант?"", то можно ответить, на графического дизайнера"
"Да, сек
6d9eeb
0145ac",я за этот,"Кста, если у нас спросят ""Куда вы потратите грант?"", то можно ответить, на графического дизайнера","хпахап
рил"
я за этот,"Кста, если у нас спросят ""Куда вы потратите грант?"", то можно ответить, на графического дизайнера","хпахап
рил","Вы в дисе?
Я дома просто"
"Кста, если у нас спросят ""Куда вы потратите грант?"", то можно ответить, на графического дизайнера","хпахап
рил","Вы в дисе?
Я дома просто","нет
уже"
"хпахап
рил","Вы в дисе?
Я дома просто","нет
уже",Через сколько?
"Вы в дисе?
Я дома просто","нет
уже",Через сколько?,"но я могу на 15 минут зайти
потом в 21.30 освобожусь
и снова могу зайти"
"нет
уже",Через сколько?,"но я могу на 15 минут зайти
потом в 21.30 освобожусь
и снова могу зайти",Давай тогда в 21:30 засядем
Через сколько?,"но я могу на 15 минут зайти
потом в 21.30 освобожусь
и снова могу зайти",Давай тогда в 21:30 засядем,"оки
Лого вставил в презу
вроде заебись
ща еще другие цвета потесчу
теперь надо придумать как его на титульник вставить
посмотрите на досуге"
"но я могу на 15 минут зайти
потом в 21.30 освобожусь
и снова могу зайти",Давай тогда в 21:30 засядем,"оки
Лого вставил в презу
вроде заебись
ща еще другие цвета потесчу
теперь надо придумать как его на титульник вставить
посмотрите на досуге","можно попробовать так поиграться, если норм..
типа под кубики текст
и там по середение
ну как вариант"
Давай тогда в 21:30 засядем,"оки
Лого вставил в презу
вроде заебись
ща еще другие цвета потесчу
теперь надо придумать как его на титульник вставить
посмотрите на досуге","можно попробовать так поиграться, если норм..
типа под кубики текст
и там по середение
ну как вариант",Как вщ логотип?
"оки
Лого вставил в презу
вроде заебись
ща еще другие цвета потесчу
теперь надо придумать как его на титульник вставить
посмотрите на досуге","можно попробовать так поиграться, если норм..
типа под кубики текст
и там по середение
ну как вариант",Как вщ логотип?,огонь
"можно попробовать так поиграться, если норм..
типа под кубики текст
и там по середение
ну как вариант",Как вщ логотип?,огонь,кайф
Как вщ логотип?,огонь,кайф,Мне нравится
огонь,кайф,Мне нравится,"ВЛад
заходи
бодя тоже
да и макс ес хош
хаахха"
кайф,Мне нравится,"ВЛад
заходи
бодя тоже
да и макс ес хош
хаахха",Окей
Мне нравится,"ВЛад
заходи
бодя тоже
да и макс ес хош
хаахха",Окей,"ща у меня ученица родит ответ
и я зайду
ты где себек008"
"ВЛад
заходи
бодя тоже
да и макс ес хош
хаахха",Окей,"ща у меня ученица родит ответ
и я зайду
ты где себек008","бля
марат сам с собой разговаривает ..."
Окей,"ща у меня ученица родит ответ
и я зайду
ты где себек008","бля
марат сам с собой разговаривает ...",вхвхвх
"ща у меня ученица родит ответ
и я зайду
ты где себек008","бля
марат сам с собой разговаривает ...",вхвхвх,"Богдан, напишешь девушке гранту?)
В 12 покажем презу"
"бля
марат сам с собой разговаривает ...",вхвхвх,"Богдан, напишешь девушке гранту?)
В 12 покажем презу",Женщина!
вхвхвх,"Богдан, напишешь девушке гранту?)
В 12 покажем презу",Женщина!,хапха
"Богдан, напишешь девушке гранту?)
В 12 покажем презу",Женщина!,хапха,ахаххаха
Женщина!,хапха,ахаххаха,Лада
хапха,ахаххаха,Лада,"Женщине*
го в дис"
ахаххаха,Лада,"Женщине*
го в дис",го
Лада,"Женщине*
го в дис",го,Ща я приду
,,,в 2
,,в 2,В 15.30
,,,сегодня
,,сегодня,Вы этого не видели
,сегодня,Вы этого не видели,"Я всё видел
Алкаш
Ахахахах
Если в 2
Я откисну пока"
сегодня,Вы этого не видели,"Я всё видел
Алкаш
Ахахахах
Если в 2
Я откисну пока",+
Вы этого не видели,"Я всё видел
Алкаш
Ахахахах
Если в 2
Я откисну пока",+,"больше не перенесут?
ахахах"
"Я всё видел
Алкаш
Ахахахах
Если в 2
Я откисну пока",+,"больше не перенесут?
ахахах","+
Мне в пол 5 примерно надо будет уйти
Мб в 3 они смогут? Попробуешь узнать?"
+,"больше не перенесут?
ахахах","+
Мне в пол 5 примерно надо будет уйти
Мб в 3 они смогут? Попробуешь узнать?","Вот да
Можно туда попробовать"
"больше не перенесут?
ахахах","+
Мне в пол 5 примерно надо будет уйти
Мб в 3 они смогут? Попробуешь узнать?","Вот да
Можно туда попробовать","ч по зуму
ссылка будет?"
"+
Мне в пол 5 примерно надо будет уйти
Мб в 3 они смогут? Попробуешь узнать?","Вот да
Можно туда попробовать","ч по зуму
ссылка будет?",ща я создам
"Вот да
Можно туда попробовать","ч по зуму
ссылка будет?",ща я создам,"богдан
ты где"
"ч по зуму
ссылка будет?",ща я создам,"богдан
ты где",захожу
ща я создам,"богдан
ты где",захожу,можешь начинать
"богдан
ты где",захожу,можешь начинать,у меня звука нет
захожу,можешь начинать,у меня звука нет,"1. Плюсик нарисовать на картинке
2. Рассмотреть конкретный кейс"
можешь начинать,у меня звука нет,"1. Плюсик нарисовать на картинке
2. Рассмотреть конкретный кейс",-Сфокусироваться на одном с потенциальном расширением
у меня звука нет,"1. Плюсик нарисовать на картинке
2. Рассмотреть конкретный кейс",-Сфокусироваться на одном с потенциальном расширением,"Применение продукта
Добавить несколько интервью"
"1. Плюсик нарисовать на картинке
2. Рассмотреть конкретный кейс",-Сфокусироваться на одном с потенциальном расширением,"Применение продукта
Добавить несколько интервью",Вы может скажете ченить тоже
-Сфокусироваться на одном с потенциальном расширением,"Применение продукта
Добавить несколько интервью",Вы может скажете ченить тоже,Я пока нихуя не понял
"Применение продукта
Добавить несколько интервью",Вы может скажете ченить тоже,Я пока нихуя не понял,"Спросите там
Я пока тоже"
Вы может скажете ченить тоже,Я пока нихуя не понял,"Спросите там
Я пока тоже",ахахах
Я пока нихуя не понял,"Спросите там
Я пока тоже",ахахах,"Вот
Я это хотел узнать"
"Спросите там
Я пока тоже",ахахах,"Вот
Я это хотел узнать","lexema
тут про Fast ML надо сказать
по сути это оно и будет"
ахахах,"Вот
Я это хотел узнать","lexema
тут про Fast ML надо сказать
по сути это оно и будет","го в дис
добавте меня))"
"Вот
Я это хотел узнать","lexema
тут про Fast ML надо сказать
по сути это оно и будет","го в дис
добавте меня))","Аххахха
Что это"
"lexema
тут про Fast ML надо сказать
по сути это оно и будет","го в дис
добавте меня))","Аххахха
Что это",Это про стажировку*
"го в дис
добавте меня))","Аххахха
Что это",Это про стажировку*,Ок
"Аххахха
Что это",Это про стажировку*,Ок,Ку Клукс клан
Это про стажировку*,Ок,Ку Клукс клан,Ахаха
Ок,Ку Клукс клан,Ахаха,Не ну к волосам клеить на скотч шапку гениально пххахс
Ку Клукс клан,Ахаха,Не ну к волосам клеить на скотч шапку гениально пххахс,О
Ахаха,Не ну к волосам клеить на скотч шапку гениально пххахс,О,Можно попробовать
Не ну к волосам клеить на скотч шапку гениально пххахс,О,Можно попробовать,Надо к грантовичке подойти
О,Можно попробовать,Надо к грантовичке подойти,Когда в итоге с ней созвон?
Можно попробовать,Надо к грантовичке подойти,Когда в итоге с ней созвон?,"Хз
по поводу хакатона в питере
это раз
и хакатон который она предложила"
Надо к грантовичке подойти,Когда в итоге с ней созвон?,"Хз
по поводу хакатона в питере
это раз
и хакатон который она предложила",Не могу найти тематику
Когда в итоге с ней созвон?,"Хз
по поводу хакатона в питере
это раз
и хакатон который она предложила",Не могу найти тематику,"Там написано программисты-робототехники
Боюсь это не про нас("
"Хз
по поводу хакатона в питере
это раз
и хакатон который она предложила",Не могу найти тематику,"Там написано программисты-робототехники
Боюсь это не про нас(",вот это как я понял
Не могу найти тематику,"Там написано программисты-робототехники
Боюсь это не про нас(",вот это как я понял,"Мб на этот лучше не стоит, у нас вроде никто робототехникой не занимался?
Ей сказать об этом
Дарье"
"Там написано программисты-робототехники
Боюсь это не про нас(",вот это как я понял,"Мб на этот лучше не стоит, у нас вроде никто робототехникой не занимался?
Ей сказать об этом
Дарье",Пусть с фирта отправляют
вот это как я понял,"Мб на этот лучше не стоит, у нас вроде никто робототехникой не занимался?
Ей сказать об этом
Дарье",Пусть с фирта отправляют,"Да
Я так понял модуль фотоаналитики это тип по фотографии какие-то показатели выщитывать
И тип если это блогеры и смм
То тип по фотке определить на сколько качественно сделано чтобы привлечь покупателей
Я вот хз это фотка сайта или фотка конкретного продукта по типу тарелок или ещё чего
По сути если предметов, то можно просто плохих фоток наделать, где тип если сочетание цветов плохое, показывать маленькие показатели 
А если там на белом фоне все четенько, то говориьь высокие показатели
Ток нужно будет искать фотки)
Чтобы обучить
Ну я пока предположил
В инете есть программы видеоаналитики по типу высчитать количество людей которые под камерой прошли
А у нас фотоаналитика"
"Мб на этот лучше не стоит, у нас вроде никто робототехникой не занимался?
Ей сказать об этом
Дарье",Пусть с фирта отправляют,"Да
Я так понял модуль фотоаналитики это тип по фотографии какие-то показатели выщитывать
И тип если это блогеры и смм
То тип по фотке определить на сколько качественно сделано чтобы привлечь покупателей
Я вот хз это фотка сайта или фотка конкретного продукта по типу тарелок или ещё чего
По сути если предметов, то можно просто плохих фоток наделать, где тип если сочетание цветов плохое, показывать маленькие показатели 
А если там на белом фоне все четенько, то говориьь высокие показатели
Ток нужно будет искать фотки)
Чтобы обучить
Ну я пока предположил
В инете есть программы видеоаналитики по типу высчитать количество людей которые под камерой прошли
А у нас фотоаналитика","И Ч проще?
По твоему мнению"
Пусть с фирта отправляют,"Да
Я так понял модуль фотоаналитики это тип по фотографии какие-то показатели выщитывать
И тип если это блогеры и смм
То тип по фотке определить на сколько качественно сделано чтобы привлечь покупателей
Я вот хз это фотка сайта или фотка конкретного продукта по типу тарелок или ещё чего
По сути если предметов, то можно просто плохих фоток наделать, где тип если сочетание цветов плохое, показывать маленькие показатели 
А если там на белом фоне все четенько, то говориьь высокие показатели
Ток нужно будет искать фотки)
Чтобы обучить
Ну я пока предположил
В инете есть программы видеоаналитики по типу высчитать количество людей которые под камерой прошли
А у нас фотоаналитика","И Ч проще?
По твоему мнению","Надо бы узнать какие нам данные дадут))
Тип где их больше наверное оно 
Потому что могут и не дать ни там ни там
Ну вообще мб с фотками
Там просто фото на вход, и числа на выходе
Свёртку применять"
"Да
Я так понял модуль фотоаналитики это тип по фотографии какие-то показатели выщитывать
И тип если это блогеры и смм
То тип по фотке определить на сколько качественно сделано чтобы привлечь покупателей
Я вот хз это фотка сайта или фотка конкретного продукта по типу тарелок или ещё чего
По сути если предметов, то можно просто плохих фоток наделать, где тип если сочетание цветов плохое, показывать маленькие показатели 
А если там на белом фоне все четенько, то говориьь высокие показатели
Ток нужно будет искать фотки)
Чтобы обучить
Ну я пока предположил
В инете есть программы видеоаналитики по типу высчитать количество людей которые под камерой прошли
А у нас фотоаналитика","И Ч проще?
По твоему мнению","Надо бы узнать какие нам данные дадут))
Тип где их больше наверное оно 
Потому что могут и не дать ни там ни там
Ну вообще мб с фотками
Там просто фото на вход, и числа на выходе
Свёртку применять","Че , запишемся ?
Надо за все возможности хвататься"
"И Ч проще?
По твоему мнению","Надо бы узнать какие нам данные дадут))
Тип где их больше наверное оно 
Потому что могут и не дать ни там ни там
Ну вообще мб с фотками
Там просто фото на вход, и числа на выходе
Свёртку применять","Че , запишемся ?
Надо за все возможности хвататься","Да, можно"
,,,Ты случайно не писал дарье чтобы нас не записавала на хакатон с роботехникой?)
,,Ты случайно не писал дарье чтобы нас не записавала на хакатон с роботехникой?),Бля
,,,Правда думаю что не стоит на него
,,Правда думаю что не стоит на него,Я ей не написал
,Правда думаю что не стоит на него,Я ей не написал,"Я просто думаю если мы там жестко облажаемся, то могут нас уже не с таким энтузиазмом куда то отправлять
Тип лучше выбирать те, где мы хотя бы чучуть понимаем"
Правда думаю что не стоит на него,Я ей не написал,"Я просто думаю если мы там жестко облажаемся, то могут нас уже не с таким энтузиазмом куда то отправлять
Тип лучше выбирать те, где мы хотя бы чучуть понимаем",Не
Я ей не написал,"Я просто думаю если мы там жестко облажаемся, то могут нас уже не с таким энтузиазмом куда то отправлять
Тип лучше выбирать те, где мы хотя бы чучуть понимаем",Не,"а насчет гранта как, молчит?)"
"Я просто думаю если мы там жестко облажаемся, то могут нас уже не с таким энтузиазмом куда то отправлять
Тип лучше выбирать те, где мы хотя бы чучуть понимаем",Не,"а насчет гранта как, молчит?)","Да
Я приеду завтра
Напишу ей
В пн скорее всего пойдем"
Не,"а насчет гранта как, молчит?)","Да
Я приеду завтра
Напишу ей
В пн скорее всего пойдем","Я тоже в понедельник в вуз иду
как раз думал к ней зайти"
"а насчет гранта как, молчит?)","Да
Я приеду завтра
Напишу ей
В пн скорее всего пойдем","Я тоже в понедельник в вуз иду
как раз думал к ней зайти",Ну вот зайдем
"Да
Я приеду завтра
Напишу ей
В пн скорее всего пойдем","Я тоже в понедельник в вуз иду
как раз думал к ней зайти",Ну вот зайдем,Погнали в часов 10?
"Я тоже в понедельник в вуз иду
как раз думал к ней зайти",Ну вот зайдем,Погнали в часов 10?,"Она скорее всего
После обеда будет свободна"
Ну вот зайдем,Погнали в часов 10?,"Она скорее всего
После обеда будет свободна","Понял
Ну посмотрим тогда что она ответит
Попробуем?"
Погнали в часов 10?,"Она скорее всего
После обеда будет свободна","Понял
Ну посмотрим тогда что она ответит
Попробуем?","Го
И сюда го"
"Она скорее всего
После обеда будет свободна","Понял
Ну посмотрим тогда что она ответит
Попробуем?","Го
И сюда го","Можно как раз эту идею предложить
Надо собраться в дисе
Записаться"
"Понял
Ну посмотрим тогда что она ответит
Попробуем?","Го
И сюда го","Можно как раз эту идею предложить
Надо собраться в дисе
Записаться",Да
"Го
И сюда го","Можно как раз эту идею предложить
Надо собраться в дисе
Записаться",Да,"А когда тот хакатон будет на который мы зарегались?
в питере который"
"Можно как раз эту идею предложить
Надо собраться в дисе
Записаться",Да,"А когда тот хакатон будет на который мы зарегались?
в питере который",25-27 августа
,,,Надо зарегаться на всех остальных
,,Надо зарегаться на всех остальных,да
,,,"Надо мониторить, мб данные раньше скинут
хз куда конечно
но мб там появится
Это уже задача типа?
А данных никаких нет?"
,,"Надо мониторить, мб данные раньше скинут
хз куда конечно
но мб там появится
Это уже задача типа?
А данных никаких нет?","Это просто инфа
Данные , я думаю , дадут когда начнется хакатон
Мы же этот кейс выбрали , да ?"
,"Надо мониторить, мб данные раньше скинут
хз куда конечно
но мб там появится
Это уже задача типа?
А данных никаких нет?","Это просто инфа
Данные , я думаю , дадут когда начнется хакатон
Мы же этот кейс выбрали , да ?",Вроде да
,,,"Я уже не могу в ебучем лагере
Хочу к вам
Хочу прогать блять
Я заряжен"
,,"Я уже не могу в ебучем лагере
Хочу к вам
Хочу прогать блять
Я заряжен",Уточнения тип
,"Я уже не могу в ебучем лагере
Хочу к вам
Хочу прогать блять
Я заряжен",Уточнения тип,можно будет во время самого хакатона наврен
"Я уже не могу в ебучем лагере
Хочу к вам
Хочу прогать блять
Я заряжен",Уточнения тип,можно будет во время самого хакатона наврен,"Я просто не понимаю что будет на скринах
Типа
Ты Олег как понял это?"
Уточнения тип,можно будет во время самого хакатона наврен,"Я просто не понимаю что будет на скринах
Типа
Ты Олег как понял это?",по расписанию
можно будет во время самого хакатона наврен,"Я просто не понимаю что будет на скринах
Типа
Ты Олег как понял это?",по расписанию,"Просто я сейчас хотел примерно сориентироваться куда надо копать, а для этого я хотел понять что будет на скринах
Фото самого блога или что
Тип скрин группы вк как оформлено
или инста
или
хз..."
"Я просто не понимаю что будет на скринах
Типа
Ты Олег как понял это?",по расписанию,"Просто я сейчас хотел примерно сориентироваться куда надо копать, а для этого я хотел понять что будет на скринах
Фото самого блога или что
Тип скрин группы вк как оформлено
или инста
или
хз...",Можно
по расписанию,"Просто я сейчас хотел примерно сориентироваться куда надо копать, а для этого я хотел понять что будет на скринах
Фото самого блога или что
Тип скрин группы вк как оформлено
или инста
или
хз...",Можно,"О
Напиши плез, тип что конретно будет на скринах
Мб 1-2 примера пришлют"
"Просто я сейчас хотел примерно сориентироваться куда надо копать, а для этого я хотел понять что будет на скринах
Фото самого блога или что
Тип скрин группы вк как оформлено
или инста
или
хз...",Можно,"О
Напиши плез, тип что конретно будет на скринах
Мб 1-2 примера пришлют","Вот чат для всех
Можешь вступить узнать"
Можно,"О
Напиши плез, тип что конретно будет на скринах
Мб 1-2 примера пришлют","Вот чат для всех
Можешь вступить узнать","Написал организатору
Говорит только когда начало будет можно будет это узнать
Гады"
